date,open,high,low,close,volume
07-09-2010,124.769,124.8458,123.0616,123.9665,6211300
08-09-2010,124.1116,127.7655,124.0945,125.9556,8310300
09-09-2010,127.8765,128.6363,126.7752,127.3216,6729800
10-09-2010,127.5947,128.696,127.0398,128.3887,4417200
13-09-2010,130.0363,132.0682,130.0193,131.7864,7653600
14-09-2010,131.0779,131.2533,129.9595,130.2156,5688200
15-09-2010,129.4814,130.4461,128.6277,130.2412,5698200
16-09-2010,130.0022,130.1729,129.046,129.9595,4388600
17-09-2010,129.8571,130.1644,128.5338,128.8924,4835600
20-09-2010,128.8924,130.1046,127.9618,129.6778,5640500
21-09-2010,129.8571,131.9572,128.9863,129.2509,6876000
22-09-2010,128.0131,128.5253,126.0837,126.4081,8986100
23-09-2010,124.9483,125.3836,122.9164,123.7104,9152400
24-09-2010,124.8543,126.0068,124.4873,125.7337,5623700
27-09-2010,125.5032,126.6983,124.4531,124.6409,5205900
28-09-2010,125.0763,125.2336,122.9847,123.7958,5504800
29-09-2010,123.8043,123.8043,121.6871,123.2921,6944900
30-09-2010,124.0006,125.4776,123.1896,123.4287,6854400
01-10-2010,123.958,126.7752,123.6335,126.0922,7439800
04-10-2010,126.0922,126.7496,123.5311,125.1275,5866700
05-10-2010,125.9727,128.2948,124.7007,127.6886,8724700
06-10-2010,127.8423,130.0449,127.3152,128.7729,6330600
07-10-2010,129.8571,130.0705,128.0814,129.0034,4471500
08-10-2010,129.0375,130.9583,128.585,130.3266,5225100
11-10-2010,130.3351,130.6937,129.1399,129.9339,4454400
12-10-2010,129.1656,132.7084,128.918,132.5035,6378000
13-10-2010,133.4341,133.767,131.8035,132.0938,5626200
14-10-2010,131.6669,131.7181,128.5253,129.4131,6891100
15-10-2010,130.3522,130.3522,128.6192,128.6448,6901500
18-10-2010,128.8497,131.795,128.7814,131.2144,6972300
19-10-2010,132.4438,136.3367,131.334,133.7926,14491200
20-10-2010,133.3572,136.8062,132.2047,136.2513,10631200
21-10-2010,136.2342,137.8733,134.9708,135.9952,6350900
22-10-2010,136.4989,136.5757,134.4585,134.6805,4051700
25-10-2010,136.0464,136.1233,133.4085,134.3646,5728300
26-10-2010,133.7926,135.5086,133.6304,135.133,4068500
27-10-2010,134.1939,137.0965,134.0317,136.7208,6570900
28-10-2010,137.327,139.8283,136.9684,139.3588,9918800
29-10-2010,138.4283,139.6654,137.4038,137.5575,4536600
